order_id,order_date,order_time,product_name,order_price,tax_value,existing_customer,customer_name,mobile_number
1,2023-03-31,17:55:42,iPhone 12,794.8,79.48,True,Maria Grimes,9923958664
2,2023-06-19,06:18:53,Galaxy Note 10,691.16,69.12,False,Amy Matthews,9000660115
3,2023-02-06,12:26:46,iPhone 12,1027.52,102.75,True,Gabriel Wade,9251953384
4,2023-02-12,14:37:16,Nokia 8.3,783.86,78.39,False,Benjamin Smith,9865381336
5,2023-06-01,05:12:33,Nokia 8.3,1188.44,118.84,False,Lauren Wright,9364094706
6,2023-07-18,18:56:06,Pixel 5,1241.56,124.16,False,John Walters,9006688375
7,2023-05-07,23:26:49,Pixel 5,920.18,92.02,True,Haley Greene,9602521885
8,2023-03-26,14:57:07,Nokia 8.3,667.92,66.79,True,John Johnson,9729023835
9,2023-07-20,01:16:44,Galaxy Note 10,1189.33,118.93,False,Robert Rodriguez,9825797845
10,2023-03-23,04:45:17,iPhone SE,375.97,37.6,True,Kayla Spencer,9849902282
11,2023-01-27,15:19:36,Nokia 8.3,307.58,30.76,True,Sabrina Carey,9800865688
12,2023-01-19,05:47:39,OnePlus 9,1422.9,142.29,False,Jimmy Owens,9083208696
13,2023-04-09,21:27:19,iPhone SE,1293.43,129.34,False,Jill Moore,9620794208
14,2023-03-06,14:30:22,Pixel 5,344.04,34.4,False,Tyler Jones,9007130465
15,2023-06-15,20:55:54,Nokia 8.3,1220.04,122.0,True,Sharon Burnett,9120471282
16,2023-01-05,05:21:00,OnePlus 9,863.2,86.32,False,Lawrence Burns,9639394601
17,2023-01-26,02:56:12,OnePlus 9,1064.3,106.43,False,Oscar Green,9098139770
18,2023-03-30,21:21:47,OnePlus 9,1475.04,147.5,False,Donna Lara,9832223428
19,2023-04-27,02:12:15,Galaxy S21,893.07,89.31,False,Jamie Andrews,9309975310
20,2023-02-10,01:18:20,Nokia 8.3,432.31,43.23,True,Louis Rodriguez,9433718408
21,2023-06-23,18:20:30,Nokia 8.3,1118.32,111.83,False,Nicole Rodgers,9946749528
22,2023-06-13,23:39:13,Galaxy Note 10,913.73,91.37,False,Carlos Levy,9069073609
23,2023-07-02,05:47:17,Nokia 8.3,1205.69,120.57,False,Hailey Sutton,9464977399
24,2023-03-22,23:35:25,Galaxy S21,1128.03,112.8,True,Matthew Cox,9522739595
25,2023-07-02,04:52:22,Pixel 5,946.26,94.63,False,Beth Anderson,9161955110
26,2023-05-28,07:32:04,OnePlus 9,702.27,70.23,True,Scott Greene,9863796864
27,2023-01-19,15:37:13,Moto G Power,737.64,73.76,True,Lori Nelson,9874708614
