CUSTOMER_PK,SALUTATION,FIRST_NAME,LAST_NAME,GENDER,MARITAL_STATUS,DAY_OF_BIRTH,BIRTH_COUNTRY,EMAIL_ADDRESS,CITY_NAME,ZIP_CODE,COUNTRY_NAME,GMT_TIMEZONE_OFFSET,PREFERRED_CUST_FLAG,REGISTRATION_TIME
25335730,Dr.,Joyce,Ferguson,F,M,1973-09-15,Cambodia,joyce.ferguson@9o.com,Macedonia,61087,United States,-6.00,FALSE,2022-10-03 22:43:20.810 -0700
25335656,Dr.,Leo,Brown,F,D,1930-06-16,Madagascar,leo.brown@7uemf93n6mhfdf8.edu,Brownsville,59310,United States,-6.00,TRUE,2022-10-03 22:43:20.xxx -0700
25335678,Mrs.,Melissa,Hendrickson,M,S,1928-03-15,Romania,melissa.hendrickson@7d4vctbyz9tcmcds.org,Whitehall,77595,United States,-6.00,TRUE,2022-10-03 22:43:20.810 -0700
25335682,Mrs.,Louise,Cobb,F,S,1951-09-09,Mali,louise.cobb@suqxozlxknl.com,Florence,33394,United States,-6.98876,TRUE,2022-10-03 22:43:20.810 -0700
25335724,Sir,Eugene,Jimenez,M,S,1929-05-28,French Polynesia,eugene.jimenez@a2kmgxvma.edu,Belmont,70191,United States,-6.00,TRUE,20xx-10-03 22:43:20.810 -0700
25337308,Dr.,Allen,White,M,D,1980-04-19,Kiribati,allen.white@e4ubll9yshvis.org,Forest Hills,29237,United States,-5.00,FALSE,2022-10-03 22:43:20.810 -0700
25337316,Ms.,Janice,Tucker,F,U,1963-08-09,Martinique,janice.tucker@h6jzprvuv9v.edu,Argyle,58722,United States,-6.00,FALSE,2022-10-03 22:43:20.810 -0700
25337331,Mr.,John,Tilley,M,S,1927-08-24,New Caledonia,john.tilley@q0u3.com,New Hope,29431,United States,-5.00,TRUE,2022-10-03 22:43:20.810 -0700
25337377,Ms.,Gloria,Alexander,F,W,1973-08-26,French Polynesia,gloria.alexander@auze8pxe99t3.com,Appleton,44240,United States,-5.00,FALSE,2022-10-03 22:43:20.810 -0700
25337384,Mr.,Gordon,Campbell,F,S,1962-02-03,Iceland,gordon.campbell@mtret8uyc6v.com,Enterprise,81757,United States,-7.00,Truth,2022-10-03 22:43:20.810 -0700
